date,url,sha256,bytes,rows_country
20230208,http://data.gdeltproject.org/events/20230208.export.CSV.zip,f168e9fa18f5d4da33379450263757752ecba6ea2271a052eaf250ab47dd322b,7519119,4074
20230209,http://data.gdeltproject.org/events/20230209.export.CSV.zip,c2a26b783be9bcc72da8491dfb3b76701a5221b7d9a1e7d713d9d62f95c60bf8,7463329,4230
20230210,http://data.gdeltproject.org/events/20230210.export.CSV.zip,1e6ebd893fc918c0955fc4a5673fa353f44317f8f3e9ce939be00c5b3c25c2df,6957047,3797
20230211,http://data.gdeltproject.org/events/20230211.export.CSV.zip,3d85191d99cf4c835b267c6cb88fe299824b0628437c26f110bb5979cbfc1318,4035059,1952
20230212,http://data.gdeltproject.org/events/20230212.export.CSV.zip,658714dbbdba8bbeb2cf7841dee67068483985eb79054638af867197055553e5,3384513,1698
20230213,http://data.gdeltproject.org/events/20230213.export.CSV.zip,2fec2c05a5e6bd1ef4ace6203fd6699a2f07a994d6d2a73ae2e0a3066e554b5e,6082117,3335
20230214,http://data.gdeltproject.org/events/20230214.export.CSV.zip,554b0c2b9f6400e29a5c8cc370b5220ab89379d8bc157f82278ac7c7bf4de229,7370236,3713
20230215,http://data.gdeltproject.org/events/20230215.export.CSV.zip,1688cb59e683f5ecae0a2dd04a9c6bcabf7fc6f2568774b7218c94884e3ae81e,7475308,3980
20230216,http://data.gdeltproject.org/events/20230216.export.CSV.zip,3e4bf67f715493d2a168184230444159a66cd6667434a62d1e4f8f9a25576bac,7556621,3950
20230217,http://data.gdeltproject.org/events/20230217.export.CSV.zip,15a02c6ef590f2aef9f5be8af9b23fc3a258fdc753fd8db513a8ccd86fe9bf6b,7246422,4126
20230218,http://data.gdeltproject.org/events/20230218.export.CSV.zip,20bec4a191ea4eb2a7594bdd4e6eb551610bfffbd326e4f6d0ccd457a3597e00,4447219,3096
20230219,http://data.gdeltproject.org/events/20230219.export.CSV.zip,9c8e2a37b17aa6785a27b1f2b3006ddbce30eb50ecf16fb46b2b389dc78b95f9,3730411,2818
20230220,http://data.gdeltproject.org/events/20230220.export.CSV.zip,8b60e6e16ea3af26c1c48d805b9dbf6dd54a59ea9c661921b54fd3a8dfafcfba,6285965,4746
20230221,http://data.gdeltproject.org/events/20230221.export.CSV.zip,814b221258bd271fbe065d86439d5d4259228933230036c7d5dca1f06a3e8c5b,7508863,5643
20230222,http://data.gdeltproject.org/events/20230222.export.CSV.zip,0c6247a44c5a2d626abc7aea96e0c13a97712c153457c965b54d5a2ab5a438c1,7862155,6216
20230223,http://data.gdeltproject.org/events/20230223.export.CSV.zip,b8f80302b9164ce3ba05bbce95c562ffb15cae18c969ed8bba3855882ed40ea4,7816764,5701
20230224,http://data.gdeltproject.org/events/20230224.export.CSV.zip,645b08aa7226e46f9e46b4dada3e6c14795fc1ff5e02d6bc281a39b0b6ba4aeb,7439076,7124
20230225,http://data.gdeltproject.org/events/20230225.export.CSV.zip,588c4e941757498c57d18a9b547c961aa521dd4471b95ef3547b6ba9ef8b14c2,4389552,3851
20230226,http://data.gdeltproject.org/events/20230226.export.CSV.zip,8c0ad4d2fa041e4c0130b1355eed260835cfcce7ca7de1b3e5e915aa57881482,3335367,2658
